denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Butera,,1,6,,,194,1,,2021-10-10
Caltanissetta,,6,37,,,3108,57,1,2021-10-10
Campofranco,,,,,,138,3,,2021-10-10
Delia,,1,15,,,100,3,,2021-10-10
Gela,,7,104,,,6405,92,1,2021-10-10
Marianopoli,,1,13,,,73,3,,2021-10-10
Mazzarino,,,3,,,873,5,1,2021-10-10
Milena,,,,,,165,6,,2021-10-10
Montedoro,,,,,,85,4,,2021-10-10
Mussomeli,,,6,,,386,4,1,2021-10-10
Niscemi,,3,16,1,,2760,39,,2021-10-10
Resuttano,,,,,,86,,,2021-10-10
Riesi,,,11,,,768,8,,2021-10-10
San Cataldo,,2,11,,,1005,17,,2021-10-10
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-10
Serradifalco,,2,1,,,345,4,,2021-10-10
Sommatino,,,2,,,223,4,,2021-10-10
Sutera,,,,,,5,,,2021-10-10
Vallelunga Pratameno,,,,,,84,,,2021-10-10
Villalba,,,3,,,53,,,2021-10-10
altreProvince,,1,,,,59,31,,2021-10-10
Acquaviva Platani,,,,,,44,,,2021-10-11
Bompensiere,,,,,,34,1,,2021-10-11
Butera,,1,6,,,194,1,,2021-10-11
Caltanissetta,,5,35,,,3113,57,1,2021-10-11
Campofranco,,,,,,138,3,,2021-10-11
Delia,,2,14,,,100,3,,2021-10-11
Gela,,7,106,,,6405,92,1,2021-10-11
Marianopoli,,1,13,,,73,3,,2021-10-11
Mazzarino,,,3,,,873,5,1,2021-10-11
Milena,,,,,,165,6,,2021-10-11
Montedoro,,,,,,85,4,,2021-10-11
Mussomeli,,,7,,,386,4,1,2021-10-11
Niscemi,,3,16,1,,2760,39,,2021-10-11
Resuttano,,,,,,86,,,2021-10-11
Riesi,,1,11,,,768,8,,2021-10-11
San Cataldo,,2,11,,,1005,17,,2021-10-11
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-11
Serradifalco,,2,1,,,345,4,,2021-10-11
Sommatino,,,2,,,223,4,,2021-10-11
Sutera,,,,,,5,,,2021-10-11
Vallelunga Pratameno,,,,,,84,,,2021-10-11
Villalba,,,3,,,53,,,2021-10-11
altreProvince,,1,,,,59,31,,2021-10-11
Acquaviva Platani,,,,,,44,,,2021-10-12
Bompensiere,,,,,,34,1,,2021-10-12
Butera,,1,4,,,196,1,,2021-10-12
Caltanissetta,,3,33,,,3116,58,1,2021-10-12
Campofranco,,,,,,138,3,,2021-10-12
Delia,,2,13,,,101,3,,2021-10-12
Gela,,7,106,,,6408,92,1,2021-10-12
Marianopoli,,1,12,,,74,3,,2021-10-12
Mazzarino,,,3,,,873,5,1,2021-10-12
Milena,,,,,,165,6,,2021-10-12
Montedoro,,,,,,85,4,,2021-10-12
Mussomeli,,,7,,,386,4,1,2021-10-12
Niscemi,,3,20,1,,2761,39,,2021-10-12
Resuttano,,,,,,86,,,2021-10-12
Riesi,,1,13,,,769,8,,2021-10-12
San Cataldo,,2,10,,,1006,17,,2021-10-12
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-12
Serradifalco,,2,,,,346,4,,2021-10-12
Sommatino,,,2,,,223,4,,2021-10-12
Sutera,,,,,,5,,,2021-10-12
Vallelunga Pratameno,,,,,,84,,,2021-10-12
Villalba,,,2,,,54,,,2021-10-12
altreProvince,,1,,,,59,31,,2021-10-12
Acquaviva Platani,,,,,,44,,,2021-10-13
Bompensiere,,,,,,34,1,,2021-10-13
Butera,,1,4,,,196,1,,2021-10-13
Caltanissetta,,3,28,,,3121,58,1,2021-10-13
Campofranco,,,,,,138,3,,2021-10-13
Delia,,2,13,,,101,3,,2021-10-13
Gela,,5,105,1,,6421,92,1,2021-10-13
Marianopoli,,1,13,,,74,3,,2021-10-13
Mazzarino,,,3,,,873,5,1,2021-10-13
Milena,,,,,,165,6,,2021-10-13
Montedoro,,,,,,85,4,,2021-10-13
Mussomeli,,,7,,,386,4,1,2021-10-13
Niscemi,,3,22,1,,2761,39,,2021-10-13
Resuttano,,,,,,86,,,2021-10-13
Riesi,,1,13,,,769,8,,2021-10-13
San Cataldo,,2,10,,,1006,17,,2021-10-13
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-13
Serradifalco,,,2,,,346,4,,2021-10-13
Sommatino,,,1,,,224,4,,2021-10-13
Sutera,,,,,,5,,,2021-10-13
Vallelunga Pratameno,,,,,,84,,,2021-10-13
Villalba,,,2,,,54,,,2021-10-13
altreProvince,,1,,,,59,31,,2021-10-13
Acquaviva Platani,,,,,,44,,,2021-10-14
Bompensiere,,,,,,34,1,,2021-10-14
Butera,,1,2,,,198,1,,2021-10-14
Caltanissetta,,3,28,,,3124,58,1,2021-10-14
Campofranco,,,,,,138,3,,2021-10-14
Delia,,2,12,,,102,3,,2021-10-14
Gela,,5,100,1,,6429,92,1,2021-10-14
Marianopoli,,1,14,,,74,3,,2021-10-14
Mazzarino,,,3,,,873,5,1,2021-10-14
Milena,,,,,,165,6,,2021-10-14
Montedoro,,,,,,85,4,,2021-10-14
Mussomeli,,,8,,,386,4,1,2021-10-14
Niscemi,,3,22,1,,2761,39,,2021-10-14
Resuttano,,,,,,86,,,2021-10-14
Riesi,,1,13,,,770,8,,2021-10-14
San Cataldo,,2,10,,,1006,17,,2021-10-14
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-14
Serradifalco,,,2,,,346,4,,2021-10-14
Sommatino,,,1,,,224,4,,2021-10-14
Sutera,,,,,,5,,,2021-10-14
Vallelunga Pratameno,,,,,,84,,,2021-10-14
Villalba,,,1,,,55,,,2021-10-14
altreProvince,,1,,,,59,31,,2021-10-14
Acquaviva Platani,,,,,,44,,,2021-10-15
Bompensiere,,,,,,34,1,,2021-10-15
Butera,,1,2,,,198,1,,2021-10-15
Caltanissetta,,2,27,,,3126,58,1,2021-10-15
Campofranco,,,,,,138,3,,2021-10-15
Delia,,2,12,,,102,3,,2021-10-15
Gela,,6,102,1,,6435,92,1,2021-10-15
Marianopoli,,,15,,,74,3,,2021-10-15
Mazzarino,,,4,,,873,5,1,2021-10-15
Milena,,,,,,165,6,,2021-10-15
Montedoro,,,,,,85,4,,2021-10-15
Mussomeli,,,8,,,386,4,1,2021-10-15
Niscemi,,3,22,1,,2761,39,,2021-10-15
Resuttano,,,,,,86,,,2021-10-15
Riesi,,1,13,,,770,8,,2021-10-15
San Cataldo,,2,13,,,1006,17,,2021-10-15
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-15
Serradifalco,,,2,,,346,4,,2021-10-15
Sommatino,,,2,,,224,4,,2021-10-15
Sutera,,,,,,5,,,2021-10-15
Vallelunga Pratameno,,,,,,84,,,2021-10-15
Villalba,,,,,,56,,,2021-10-15
altreProvince,,1,,,,59,31,,2021-10-15
Acquaviva Platani,,,,,,44,,,2021-10-16
Bompensiere,,,,,,34,1,,2021-10-16
Butera,,1,2,,,198,1,,2021-10-16
Caltanissetta,,2,28,,,3126,58,1,2021-10-16
Campofranco,,,,,,138,3,,2021-10-16
Delia,,2,10,,,104,3,,2021-10-16
Gela,,5,107,1,,6438,93,1,2021-10-16
Marianopoli,,,15,,,74,3,,2021-10-16
Mazzarino,,,5,,,873,5,1,2021-10-16
Milena,,,,,,165,6,,2021-10-16
Montedoro,,,,,,85,4,,2021-10-16
Mussomeli,,,8,,,386,4,1,2021-10-16
Niscemi,,3,22,1,,2761,39,,2021-10-16
Resuttano,,,,,,86,,,2021-10-16
Riesi,,1,14,,,770,8,,2021-10-16
San Cataldo,,1,14,,,1006,17,,2021-10-16
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-16
Serradifalco,,,2,,,346,4,,2021-10-16
Sommatino,,,2,,,224,4,,2021-10-16
Sutera,,,,,,5,,,2021-10-16
Vallelunga Pratameno,,,,,,84,,,2021-10-16
Villalba,,,,,,56,,,2021-10-16
altreProvince,,1,,,,59,31,,2021-10-16
Acquaviva Platani,,,,,,44,,,2021-10-17
Bompensiere,,,,,,34,1,,2021-10-17
Butera,,1,2,,,199,1,,2021-10-17
Caltanissetta,,2,28,,,3126,58,1,2021-10-17
Campofranco,,,,,,138,3,,2021-10-17
Delia,,2,9,,,105,3,,2021-10-17
Gela,,5,113,1,,6438,93,1,2021-10-17
Marianopoli,,,14,,,75,3,,2021-10-17
Mazzarino,,,5,,,873,5,1,2021-10-17
Milena,,,,,,165,6,,2021-10-17
Montedoro,,,,,,85,4,,2021-10-17
Mussomeli,,,5,,,389,4,1,2021-10-17
Niscemi,,3,22,1,,2762,39,,2021-10-17
Resuttano,,,,,,86,,,2021-10-17
Riesi,,3,13,,,772,8,,2021-10-17
San Cataldo,,1,14,,,1006,17,,2021-10-17
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-17
Serradifalco,,1,2,,,346,4,,2021-10-17
Sommatino,,,2,,,224,4,,2021-10-17
Sutera,,,,,,5,,,2021-10-17
Vallelunga Pratameno,,,,,,84,,,2021-10-17
Villalba,,,,,,56,,,2021-10-17
altreProvince,,1,,,,59,31,,2021-10-17
Acquaviva Platani,,,,,,44,,,2021-10-18
Bompensiere,,,,,,34,1,,2021-10-18
Butera,,1,2,,,199,1,,2021-10-18
Caltanissetta,,2,32,,,3127,58,1,2021-10-18
Campofranco,,,,,,138,3,,2021-10-18
Delia,,2,9,,,105,3,,2021-10-18
Gela,,6,108,,,6442,94,1,2021-10-18
Marianopoli,,,15,,,75,3,,2021-10-18
Mazzarino,,,5,,,873,5,1,2021-10-18
Milena,,,,,,165,6,,2021-10-18
Montedoro,,,,,,85,4,,2021-10-18
Mussomeli,,,5,,,389,4,1,2021-10-18
Niscemi,,3,21,,,2764,39,,2021-10-18
Resuttano,,,,,,86,,,2021-10-18
Riesi,,3,15,,,772,8,,2021-10-18
San Cataldo,,1,14,,,1006,17,,2021-10-18
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-18
Serradifalco,,,2,1,,346,4,,2021-10-18
Sommatino,,,2,,,224,4,,2021-10-18
Sutera,,,,,,5,,,2021-10-18
Vallelunga Pratameno,,,,,,84,,,2021-10-18
Villalba,,,,,,56,,,2021-10-18
altreProvince,,1,,,,59,31,,2021-10-18
Acquaviva Platani,,,,,,44,,,2021-10-19
Bompensiere,,,,,,34,1,,2021-10-19
Butera,,1,2,,,199,1,,2021-10-19
Caltanissetta,,2,32,,,3129,58,1,2021-10-19
Campofranco,,,,,,138,3,,2021-10-19
Delia,,,10,,,106,3,,2021-10-19
Gela,,6,103,,,6451,94,1,2021-10-19
Marianopoli,,,14,,,76,3,,2021-10-19
Mazzarino,,,5,,,873,5,1,2021-10-19
Milena,,,,,,165,6,,2021-10-19
Montedoro,,,,,,85,4,,2021-10-19
Mussomeli,,,4,,,390,4,1,2021-10-19
Niscemi,,3,25,,,2764,39,,2021-10-19
Resuttano,,,,,,86,,,2021-10-19
Riesi,,3,24,,,773,8,,2021-10-19
San Cataldo,,1,13,,,1007,17,,2021-10-19
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-19
Serradifalco,,,2,1,,346,4,,2021-10-19
Sommatino,,,2,,,224,4,,2021-10-19
Sutera,,,,,,5,,,2021-10-19
Vallelunga Pratameno,,,,,,84,,,2021-10-19
Villalba,,,,,,56,,,2021-10-19
altreProvince,,1,,,,59,31,,2021-10-19
Acquaviva Platani,,,,,,44,,,2021-10-20
Bompensiere,,,,,,34,1,,2021-10-20
Butera,,1,2,,,199,1,,2021-10-20
Caltanissetta,,2,32,,,3130,58,1,2021-10-20
Campofranco,,,,,,138,3,,2021-10-20
Delia,,,8,,,110,3,,2021-10-20
Gela,,6,99,,,6458,94,1,2021-10-20
Marianopoli,,,14,,,76,3,,2021-10-20
Mazzarino,,,4,,,874,5,1,2021-10-20
Milena,,,,,,165,6,,2021-10-20
Montedoro,,,,,,85,4,,2021-10-20
Mussomeli,,,4,,,390,4,1,2021-10-20
Niscemi,,3,23,,,2766,39,,2021-10-20
Resuttano,,,,,,86,,,2021-10-20
Riesi,,3,23,,,774,8,,2021-10-20
San Cataldo,,1,11,,,1009,17,,2021-10-20
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-20
Serradifalco,,,2,1,,346,4,,2021-10-20
Sommatino,,,2,,,224,4,,2021-10-20
Sutera,,,,,,5,,,2021-10-20
Vallelunga Pratameno,,,,,,84,,,2021-10-20
Villalba,,,,,,56,,,2021-10-20
altreProvince,,1,,,,59,31,,2021-10-20
Acquaviva Platani,,,,,,44,,,2021-10-21
Bompensiere,,,,,,34,1,,2021-10-21
Butera,,1,1,,,200,1,,2021-10-21
Caltanissetta,,1,31,,,3132,58,1,2021-10-21
Campofranco,,,,,,138,3,,2021-10-21
Delia,,,6,,,112,3,,2021-10-21
Gela,,6,94,,,6465,94,1,2021-10-21
Marianopoli,,,14,,,76,3,,2021-10-21
Mazzarino,,,2,,,876,5,1,2021-10-21
Milena,,,,,,165,6,,2021-10-21
Montedoro,,,,,,85,4,,2021-10-21
Mussomeli,,,7,,,391,4,1,2021-10-21
Niscemi,,3,17,,,2773,39,,2021-10-21
Resuttano,,,,,,86,,,2021-10-21
Riesi,,3,23,,,776,8,,2021-10-21
San Cataldo,,1,12,,,1010,17,,2021-10-21
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-21
Serradifalco,,,,1,,348,4,,2021-10-21
Sommatino,,,2,,,224,4,,2021-10-21
Sutera,,,,,,5,,,2021-10-21
Vallelunga Pratameno,,,,,,84,,,2021-10-21
Villalba,,,,,,56,,,2021-10-21
altreProvince,,2,,,,59,31,,2021-10-21
Acquaviva Platani,,,,,,44,,,2021-10-22
Bompensiere,,,,,,34,1,,2021-10-22
Butera,,1,1,,,200,1,,2021-10-22
Caltanissetta,,1,32,,,3133,58,1,2021-10-22
Campofranco,,,,,,138,3,,2021-10-22
Delia,,,6,,,112,3,,2021-10-22
Gela,,6,97,,,6468,94,1,2021-10-22
Marianopoli,,,10,,,80,3,,2021-10-22
Mazzarino,,,2,,,876,5,1,2021-10-22
Milena,,,,,,165,6,,2021-10-22
Montedoro,,,,,,85,4,,2021-10-22
Mussomeli,,,7,,,391,4,1,2021-10-22
Niscemi,,3,16,,,2774,39,,2021-10-22
Resuttano,,,,,,86,,,2021-10-22
Riesi,,3,23,,,776,8,,2021-10-22
San Cataldo,,1,13,,,1010,17,,2021-10-22
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-22
Serradifalco,,,,1,,348,4,,2021-10-22
Sommatino,,,2,,,224,4,,2021-10-22
Sutera,,,,,,5,,,2021-10-22
Vallelunga Pratameno,,,,,,84,,,2021-10-22
Villalba,,,,,,56,,,2021-10-22
altreProvince,,2,,,,59,31,,2021-10-22
Acquaviva Platani,,,,,,44,,,2021-10-23
Bompensiere,,,,,,34,1,,2021-10-23
Butera,,1,1,,,200,1,,2021-10-23
Caltanissetta,,1,33,,,3133,58,1,2021-10-23
Campofranco,,,,,,138,3,,2021-10-23
Delia,,,6,,,112,3,,2021-10-23
Gela,,5,102,,,6470,95,1,2021-10-23
Marianopoli,,,10,,,80,3,,2021-10-23
Mazzarino,,,2,,,876,5,1,2021-10-23
Milena,,,,,,165,6,,2021-10-23
Montedoro,,,,,,85,4,,2021-10-23
Mussomeli,,,7,,,391,4,1,2021-10-23
Niscemi,,3,17,,,2774,39,,2021-10-23
Resuttano,,,,,,86,,,2021-10-23
Riesi,,4,25,,,776,8,,2021-10-23
San Cataldo,,1,10,,,1013,17,,2021-10-23
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-23
Serradifalco,,,,1,,348,4,,2021-10-23
Sommatino,,,2,,,224,4,,2021-10-23
Sutera,,,,,,5,,,2021-10-23
Vallelunga Pratameno,,,,,,84,,,2021-10-23
Villalba,,,,,,56,,,2021-10-23
altreProvince,,2,,,,59,31,,2021-10-23
Acquaviva Platani,,,,,,44,,,2021-10-24
Bompensiere,,,,,,34,1,,2021-10-24
Butera,,1,1,,,200,1,,2021-10-24
Caltanissetta,,1,32,,,3134,58,1,2021-10-24
Campofranco,,,,,,138,3,,2021-10-24
Delia,,,6,,,112,3,,2021-10-24
Gela,,5,100,,,6473,95,1,2021-10-24
Marianopoli,,,10,,,80,3,,2021-10-24
Mazzarino,,,2,,,876,5,1,2021-10-24
Milena,,,,,,165,6,,2021-10-24
Montedoro,,,,,,85,4,,2021-10-24
Mussomeli,,1,7,,,391,4,1,2021-10-24
Niscemi,,3,21,,,2774,39,,2021-10-24
Resuttano,,,,,,86,,,2021-10-24
Riesi,,4,25,,,776,8,,2021-10-24
San Cataldo,,2,9,,,1015,17,,2021-10-24
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-24
Serradifalco,,,,1,,348,4,,2021-10-24
Sommatino,,,2,,,224,4,,2021-10-24
Sutera,,,,,,5,,,2021-10-24
Vallelunga Pratameno,,,,,,84,,,2021-10-24
Villalba,,,,,,56,,,2021-10-24
altreProvince,,2,,,,59,31,,2021-10-24
Acquaviva Platani,,,,,,44,,,2021-10-25
Bompensiere,,,,,,34,1,,2021-10-25
Butera,,1,1,,,200,1,,2021-10-25
Caltanissetta,,1,33,,,3134,58,1,2021-10-25
Campofranco,,,,,,138,3,,2021-10-25
Delia,,,6,,,112,3,,2021-10-25
Gela,,5,92,,,6483,95,1,2021-10-25
Marianopoli,,,6,,,84,3,,2021-10-25
Mazzarino,,,2,,,876,5,1,2021-10-25
Milena,,,,,,165,6,,2021-10-25
Montedoro,,,,,,85,4,,2021-10-25
Mussomeli,,1,8,,,392,4,1,2021-10-25
Niscemi,,3,21,,,2774,39,,2021-10-25
Resuttano,,,,,,86,,,2021-10-25
Riesi,,4,25,,,776,8,,2021-10-25
San Cataldo,,2,10,,,1018,17,,2021-10-25
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-25
Serradifalco,,,,1,,348,4,,2021-10-25
Sommatino,,,1,,,225,4,,2021-10-25
Sutera,,,,,,5,,,2021-10-25
Vallelunga Pratameno,,,,,,84,,,2021-10-25
Villalba,,,,,,56,,,2021-10-25
altreProvince,,2,,,,59,31,,2021-10-25
Acquaviva Platani,,,,,,44,,,2021-10-26
Bompensiere,,,,,,34,1,,2021-10-26
Butera,,1,1,,,200,1,,2021-10-26
Caltanissetta,,,30,,,3140,58,1,2021-10-26
Campofranco,,,,,,138,3,,2021-10-26
Delia,,,3,,,115,3,,2021-10-26
Gela,,6,93,,,6489,95,1,2021-10-26
Marianopoli,,,6,,,84,3,,2021-10-26
Mazzarino,,,2,,,876,5,1,2021-10-26
Milena,,,,,,165,6,,2021-10-26
Montedoro,,,,,,85,4,,2021-10-26
Mussomeli,,1,8,,,392,4,1,2021-10-26
Niscemi,,3,20,,,2775,39,,2021-10-26
Resuttano,,,,,,86,,,2021-10-26
Riesi,,4,27,,,780,8,,2021-10-26
San Cataldo,,1,15,,,1019,17,,2021-10-26
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-26
Serradifalco,,,,1,,348,4,,2021-10-26
Sommatino,,,1,,,225,4,,2021-10-26
Sutera,,,4,,,5,,,2021-10-26
Vallelunga Pratameno,,,,,,84,,,2021-10-26
Villalba,,,,,,56,,,2021-10-26
altreProvince,,2,,,,59,31,,2021-10-26
Acquaviva Platani,,,,,,44,,,2021-10-27
Bompensiere,,,,,,34,1,,2021-10-27
Butera,,1,1,,,200,1,,2021-10-27
Caltanissetta,,,33,,,3141,58,1,2021-10-27
Campofranco,,,,,,138,3,,2021-10-27
Delia,,,3,,,115,3,,2021-10-27
Gela,,6,80,,,6503,95,1,2021-10-27
Marianopoli,,,5,,,85,3,,2021-10-27
Mazzarino,,,3,,,877,5,1,2021-10-27
Milena,,,,,,165,6,,2021-10-27
Montedoro,,,,,,85,4,,2021-10-27
Mussomeli,,1,8,,,392,4,1,2021-10-27
Niscemi,,3,22,,,2775,39,,2021-10-27
Resuttano,,,,,,86,,,2021-10-27
Riesi,,4,28,,,780,8,,2021-10-27
San Cataldo,,1,20,,,1019,17,,2021-10-27
Santa Caterina Villarmosa,,,,,,274,2,,2021-10-27
Serradifalco,,,,1,,348,4,,2021-10-27
Sommatino,,,1,,,225,4,,2021-10-27
Sutera,,,4,,,5,,,2021-10-27
Vallelunga Pratameno,,,,,,84,,,2021-10-27
Villalba,,,,,,56,,,2021-10-27
altreProvince,,1,,,,60,31,,2021-10-27
Acquaviva Platani,,,,,,44,,,2021-10-28
Bompensiere,,,,,,34,1,,2021-10-28
Butera,,1,1,,,200,1,,2021-10-28
Caltanissetta,,,29,,,3146,59,1,2021-10-28
Campofranco,,,,,,138,3,,2021-10-28
Delia,,,2,,,116,3,,2021-10-28
Gela,,4,76,,,6512,95,1,2021-10-28
Marianopoli,,,5,,,85,3,,2021-10-28
Mazzarino,,,3,,,877,5,1,2021-10-28
Milena,,,,,,165,6,,2021-10-28
Montedoro,,,,,,85,4,,2021-10-28
Mussomeli,,1,8,,,392,4,1,2021-10-28
Niscemi,,2,21,,,2778,39,,2021-10-28
Resuttano,,,,,,86,,,2021-10-28
Riesi,,4,34,,,783,8,,2021-10-28
San Cataldo,,1,21,,,1020,17,,2021-10-28
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-28
Serradifalco,,,,1,,348,4,,2021-10-28
Sommatino,,,1,,,225,4,,2021-10-28
Sutera,,,4,,,5,,,2021-10-28
Vallelunga Pratameno,,,,,,84,,,2021-10-28
Villalba,,,,,,56,,,2021-10-28
altreProvince,,,,,,60,32,,2021-10-28
Acquaviva Platani,,,,,,44,,,2021-10-29
Bompensiere,,,,,,34,1,,2021-10-29
Butera,,1,1,,,200,1,,2021-10-29
Caltanissetta,,,30,,,3146,59,1,2021-10-29
Campofranco,,,,,,138,3,,2021-10-29
Delia,,,2,,,116,3,,2021-10-29
Gela,,4,77,,,6513,95,1,2021-10-29
Marianopoli,,,4,,,86,3,,2021-10-29
Mazzarino,,,3,,,877,5,1,2021-10-29
Milena,,,,,,165,6,,2021-10-29
Montedoro,,,,,,85,4,,2021-10-29
Mussomeli,,1,12,,,392,4,1,2021-10-29
Niscemi,,2,20,,,2779,39,,2021-10-29
Resuttano,,,,,,86,,,2021-10-29
Riesi,,4,34,,,783,8,,2021-10-29
San Cataldo,,1,21,,,1020,17,,2021-10-29
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-29
Serradifalco,,,1,1,,348,4,,2021-10-29
Sommatino,,,1,,,225,4,,2021-10-29
Sutera,,,4,,,5,,,2021-10-29
Vallelunga Pratameno,,,,,,84,,,2021-10-29
Villalba,,,,,,56,,,2021-10-29
altreProvince,,,,,,60,32,,2021-10-29
Acquaviva Platani,,,,,,44,,,2021-10-30
Bompensiere,,,,,,34,1,,2021-10-30
Butera,,1,1,,,200,1,,2021-10-30
Caltanissetta,,,31,,,3150,59,1,2021-10-30
Campofranco,,,,,,138,3,,2021-10-30
Delia,,,1,,,117,3,,2021-10-30
Gela,,4,75,,,6515,95,1,2021-10-30
Marianopoli,,,2,,,88,3,,2021-10-30
Mazzarino,,,3,,,877,5,1,2021-10-30
Milena,,,,,,165,6,,2021-10-30
Montedoro,,,,,,85,4,,2021-10-30
Mussomeli,,1,12,,,392,4,1,2021-10-30
Niscemi,,2,20,,,2779,39,,2021-10-30
Resuttano,,,,,,86,,,2021-10-30
Riesi,,4,34,,,783,8,,2021-10-30
San Cataldo,1,,21,,,1021,17,,2021-10-30
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-30
Serradifalco,,,1,ù,,348,4,,2021-10-30
Sommatino,,,1,,,225,4,,2021-10-30
Sutera,,,4,,,5,,,2021-10-30
Vallelunga Pratameno,,,,,,84,,,2021-10-30
Villalba,,,,,,56,,,2021-10-30
altreProvince,,,,,,60,32,,2021-10-30
Acquaviva Platani,,,,,,44,,,2021-10-31
Bompensiere,,,,,,34,1,,2021-10-31
Butera,,1,1,,,200,1,,2021-10-31
Caltanissetta,,,32,,,3150,59,1,2021-10-31
Campofranco,,,,,,138,3,,2021-10-31
Delia,,,1,,,117,3,,2021-10-31
Gela,,4,77,,,6527,95,1,2021-10-31
Marianopoli,,,2,,,88,3,,2021-10-31
Mazzarino,,,3,,,877,5,1,2021-10-31
Milena,,,,,,165,6,,2021-10-31
Montedoro,,,,,,85,4,,2021-10-31
Mussomeli,,1,12,,,392,4,1,2021-10-31
Niscemi,,2,23,,,2781,39,,2021-10-31
Resuttano,,,,,,86,,,2021-10-31
Riesi,,4,37,,,786,8,,2021-10-31
San Cataldo,1,,21,,,1021,17,,2021-10-31
Santa Caterina Villarmosa,,,1,,,274,2,,2021-10-31
Serradifalco,,,1,1,,348,4,,2021-10-31
Sommatino,,,1,,,225,4,,2021-10-31
Sutera,,,4,,,5,,,2021-10-31
Vallelunga Pratameno,,,,,,84,,,2021-10-31
Villalba,,,,,,56,,,2021-10-31
altreProvince,,,,,,60,32,,2021-10-31
Acquaviva Platani,,,,,,44,,,2021-11-01
Bompensiere,,,,,,34,1,,2021-11-01
Butera,,1,1,,,200,1,,2021-11-01
Caltanissetta,,,33,,,3151,59,1,2021-11-01
Campofranco,,,,,,138,3,,2021-11-01
Delia,,,1,,,117,3,,2021-11-01
Gela,,4,69,,,6535,95,1,2021-11-01
Marianopoli,,,2,,,88,3,,2021-11-01
Mazzarino,,,3,,,877,5,1,2021-11-01
Milena,,,,,,165,6,,2021-11-01
Montedoro,,,,,,85,4,,2021-11-01
Mussomeli,,1,13,,,392,4,1,2021-11-01
Niscemi,,2,20,,,2784,39,,2021-11-01
Resuttano,,,,,,86,,,2021-11-01
Riesi,,6,35,,,786,8,,2021-11-01
San Cataldo,1,,21,,,1021,17,,2021-11-01
Santa Caterina Villarmosa,,,2,,,275,2,,2021-11-01
Serradifalco,,,1,1,,348,4,,2021-11-01
Sommatino,,,1,,,225,4,,2021-11-01
Sutera,,,4,,,5,,,2021-11-01
Vallelunga Pratameno,,,,,,84,,,2021-11-01
Villalba,,,,,,56,,,2021-11-01
altreProvince,,,,,,60,32,,2021-11-01
Acquaviva Platani,,,,,,44,,,2021-11-02
Bompensiere,,,,,,34,1,,2021-11-02
Butera,,1,1,,,200,1,,2021-11-02
Caltanissetta,,,34,,,3151,59,1,2021-11-02
Campofranco,,,,,,138,3,,2021-11-02
Delia,,,1,,,117,3,,2021-11-02
Gela,,4,71,,,6539,95,1,2021-11-02
Marianopoli,,,2,,,88,3,,2021-11-02
Mazzarino,,,3,,,877,5,1,2021-11-02
Milena,,,,,,165,6,,2021-11-02
Montedoro,,,,,,85,4,,2021-11-02
Mussomeli,,1,12,,,393,4,1,2021-11-02
Niscemi,,2,24,,,2785,39,,2021-11-02
Resuttano,,,,,,86,,,2021-11-02
Riesi,,7,45,,,788,8,,2021-11-02
San Cataldo,1,,21,,,1021,17,,2021-11-02
Santa Caterina Villarmosa,,,4,,,275,2,,2021-11-02
Serradifalco,,,1,1,,348,4,,2021-11-02
Sommatino,,,,,,226,4,,2021-11-02
Sutera,,,4,,,5,,,2021-11-02
Vallelunga Pratameno,,,,,,84,,,2021-11-02
Villalba,,,,,,56,,,2021-11-02
altreProvince,,,,,,60,32,,2021-11-02
Acquaviva Platani,,,,,,44,,,2021-11-03
Bompensiere,,,,,,34,1,,2021-11-03
Butera,,1,1,,,200,1,,2021-11-03
Caltanissetta,,1,35,,,3151,59,1,2021-11-03
Campofranco,,,,,,138,3,,2021-11-03
Delia,,,1,,,117,3,,2021-11-03
Gela,,4,70,,,6545,95,1,2021-11-03
Marianopoli,,,2,,,88,3,,2021-11-03
Mazzarino,,,3,,,877,5,1,2021-11-03
Milena,,,,,,165,6,,2021-11-03
Montedoro,,,,,,85,4,,2021-11-03
Mussomeli,,1,12,,,393,4,1,2021-11-03
